from,to,arrow.size,relation
N-hsa04010-1,N-hsa04010-96,0.2,activation
N-hsa04010-2,N-hsa04010-32,0.2,activation
N-hsa04010-3,N-hsa04010-18,0.2,inhibition
N-hsa04010-4,N-hsa04010-18,0.2,inhibition
N-hsa04010-5,N-hsa04010-80,0.2,inhibition
N-hsa04010-6,N-hsa04010-98,0.2,activation
N-hsa04010-7,N-hsa04010-27,0.2,activation
N-hsa04010-7,N-hsa04010-29,0.2,activation
N-hsa04010-8,N-hsa04010-30,0.2,activation
N-hsa04010-8,N-hsa04010-29,0.2,activation
N-hsa04010-11,N-hsa04010-123 125,0.2,activation
N-hsa04010-16,N-hsa04010-15,0.2,activation
N-hsa04010-17,N-hsa04010-15,0.2,activation
N-hsa04010-17,N-hsa04010-16,0.2,activation
N-hsa04010-18,N-hsa04010-14,0.2,activation
N-hsa04010-18,N-hsa04010-13,0.2,activation
N-hsa04010-18,N-hsa04010-12,0.2,activation
N-hsa04010-18,N-hsa04010-136,0.2,activation
N-hsa04010-18,N-hsa04010-135,0.2,activation
N-hsa04010-18,N-hsa04010-131,0.2,activation
N-hsa04010-18,N-hsa04010-130 132 133,0.2,activation
N-hsa04010-22,N-hsa04010-19 21,0.2,activation
N-hsa04010-22,N-hsa04010-19 20,0.2,activation
N-hsa04010-23,N-hsa04010-19 21,0.2,activation
N-hsa04010-23,N-hsa04010-19 20,0.2,activation
N-hsa04010-24,N-hsa04010-19 21,0.2,activation
N-hsa04010-24,N-hsa04010-19 20,0.2,activation
N-hsa04010-25,N-hsa04010-32,0.2,inhibition
N-hsa04010-26,N-hsa04010-32,0.2,inhibition
N-hsa04010-27,N-hsa04010-32,0.2,activation
N-hsa04010-27,N-hsa04010-23,0.2,activation
N-hsa04010-28,N-hsa04010-24,0.2,activation
N-hsa04010-29,N-hsa04010-28,0.2,activation
N-hsa04010-30,N-hsa04010-32,0.2,activation
N-hsa04010-31,N-hsa04010-32,0.2,inhibition
N-hsa04010-32,N-hsa04010-24,0.2,activation
N-hsa04010-32,N-hsa04010-23,0.2,activation
N-hsa04010-32,N-hsa04010-22,0.2,activation
N-hsa04010-33,N-hsa04010-32,0.2,activation
N-hsa04010-35,N-hsa04010-31,0.2,activation
N-hsa04010-41,N-hsa04010-2,0.2,activation
N-hsa04010-41,N-hsa04010-33,0.2,activation
N-hsa04010-42,N-hsa04010-36 37,0.2,activation
N-hsa04010-43,N-hsa04010-36 38,0.2,activation
N-hsa04010-44,N-hsa04010-36 39,0.2,activation
N-hsa04010-45,N-hsa04010-36 40,0.2,activation
N-hsa04010-46,N-hsa04010-36 40,0.2,activation
N-hsa04010-47,N-hsa04010-36 40,0.2,activation
N-hsa04010-55,N-hsa04010-54,0.2,activation
N-hsa04010-56,N-hsa04010-55,0.2,activation
N-hsa04010-59,N-hsa04010-61,0.2,activation
N-hsa04010-60,N-hsa04010-79,0.2,activation
N-hsa04010-60,N-hsa04010-61,0.2,activation
N-hsa04010-69,N-hsa04010-68,0.2,activation
N-hsa04010-69,N-hsa04010-67,0.2,activation
N-hsa04010-69,N-hsa04010-66,0.2,activation
N-hsa04010-69,N-hsa04010-65,0.2,activation
N-hsa04010-69,N-hsa04010-64,0.2,activation
N-hsa04010-69,N-hsa04010-63,0.2,activation
N-hsa04010-69,N-hsa04010-62,0.2,activation
N-hsa04010-69,N-hsa04010-104,0.2,activation
N-hsa04010-69,N-hsa04010-60,0.2,activation
N-hsa04010-69,N-hsa04010-59,0.2,activation
N-hsa04010-69,N-hsa04010-58,0.2,activation
N-hsa04010-70,N-hsa04010-81,0.2,inhibition
N-hsa04010-71,N-hsa04010-69,0.2,activation
N-hsa04010-72,N-hsa04010-69,0.2,activation
N-hsa04010-73,N-hsa04010-111,0.2,inhibition
N-hsa04010-73,N-hsa04010-69,0.2,inhibition
N-hsa04010-74,N-hsa04010-111,0.2,inhibition
N-hsa04010-74,N-hsa04010-69,0.2,inhibition
N-hsa04010-75,N-hsa04010-72,0.2,inhibition
N-hsa04010-75,N-hsa04010-71,0.2,inhibition
N-hsa04010-75,N-hsa04010-110,0.2,inhibition
N-hsa04010-75,N-hsa04010-112 113,0.2,inhibition
N-hsa04010-75,N-hsa04010-112 124,0.2,inhibition
N-hsa04010-75,N-hsa04010-112 114,0.2,inhibition
N-hsa04010-76,N-hsa04010-81,0.2,inhibition
N-hsa04010-76,N-hsa04010-112 113,0.2,inhibition
N-hsa04010-76,N-hsa04010-112 124,0.2,inhibition
N-hsa04010-76,N-hsa04010-112 114,0.2,inhibition
N-hsa04010-80,N-hsa04010-17,0.2,activation
N-hsa04010-80,N-hsa04010-16,0.2,activation
N-hsa04010-80,N-hsa04010-72,0.2,activation
