name,x,y,shape,size,size2,label.cex,label,color,tooltip,nodeX,nodeY,genesList
N-hsa04010-1,138,172,circle,15,5,0.62,Lipopolysaccharide,cyan,<a target=_blank href=http://www.kegg.jp/dbget-bin/www_bget?C00338>Lipopolysaccharide</a>,138,172,NA
N-hsa04010-2,392,679,rectangle,15,5,0.62,RASGRF1,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:5923>5923</a> (RASGRF1)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:5924>5924</a> (RASGRF2),392,679,5923;5924
N-hsa04010-3,789,551,rectangle,15,5,0.62,DUSP10,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:11221>11221</a> (DUSP10)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1843>1843</a> (DUSP1)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1844>1844</a> (DUSP2)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1846>1846</a> (DUSP4)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1847>1847</a> (DUSP5)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1848>1848</a> (DUSP6)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1849>1849</a> (DUSP7)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1850>1850</a> (DUSP8)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1852>1852</a> (DUSP9)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:80824>80824</a> (DUSP16),789,551,11221;1843;1844;1846;1847;1848;1849;1850;1852;80824
N-hsa04010-4,740,551,rectangle,15,5,0.62,DUSP3,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1845>1845</a> (DUSP3)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:5778>5778</a> (PTPN7)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:5801>5801</a> (PTPRR)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:84867>84867</a> (PTPN5),740,551,1845;5778;5801;84867
N-hsa04010-5,596,145,rectangle,15,5,0.62,PPM1B,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:5495>5495</a> (PPM1B),596,145,5495
N-hsa04010-6,137,223,rectangle,15,5,0.62,FASLG,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:356>356</a> (FASLG),137,223,356
N-hsa04010-7,487,779,circle,15,5,0.62,Diacylglycerol,cyan,<a target=_blank href=http://www.kegg.jp/dbget-bin/www_bget?C00165>Diacylglycerol</a>,487,779,NA
N-hsa04010-8,447,792,circle,15,5,0.62,3,5-Cyclic AMP,cyan,<a target=_blank href=http://www.kegg.jp/dbget-bin/www_bget?C00575>3,5-Cyclic AMP</a>,447,792,NA
N-hsa04010-11,494,428,rectangle,15,5,0.62,MAP4K4,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:9448>9448</a> (MAP4K4),494,428,9448
N-hsa04010-16,786,773,rectangle,15,5,0.62,CHUK,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1147>1147</a> (CHUK)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:3551>3551</a> (IKBKB)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:8517>8517</a> (IKBKG),786,773,1147;3551;8517
